Tratamiento,CERRADO,22/04/2024,12135842,UNILEVER DE ARGENTINA SA,30-50109269/6,1607,DESCARTES Nº : 4020,TORTUGUITAS,ASHIRA S.A,30-60100265/1,73301,13 Nº : 209,BALCARCE,RECICOR S.R.L.,30-70746180/9,24918,ALTE. BROWN Nº : 3251 / 65 Ruta: : RUTA NACIONAL Nº 3 Km:: 15,LOMAS DEL MIRADOR,191201,5020
Tratamiento,VALIDADO,22/04/2024,12135843,PILKINGTON AUTOMOTIVE ARGENTINA S.A.,30-50217490/4,84831,VELEZ SARSFIELD Nº : 5831,MUNRO,CHAMICAL COMPACTACION S.A.,33-69879610/9,21616,Ruta: : PROVINCIAL Nº 24 Km: : 30,TIGRE,ARX ARCILLEX S.A.,30-52142239/0,33142,SALVADOR DE BENEDETTI Nº : 1200,JOSE LEON SUAREZ,170203,40
Tratamiento,CERRADO,19/04/2024,12135844,FEDESUR SA,30-71229006/0,85249,CONSTITUYENTES Nº : 3850,EL TRIANGULO,"PICOLET, LORENA PAOLA",27-23369809/7,37532,MAESTRO ARGENTINO Nº : 674,LUJAN,P.T.O.   S.A.,30-69018462/8,38716,BARTOLOME DIAZ Y ENSENADA Nº : CUARTEL V,MORENO,190812,23660
Tratamiento,VALIDADO,22/04/2024,12135845,PILKINGTON AUTOMOTIVE ARGENTINA S.A.,30-50217490/4,18491,AV BERNARDO ADER Nº : 3060 Piso: : --- Ruta: : --- Km:: ---,MUNRO,CHAMICAL COMPACTACION S.A.,33-69879610/9,21616,Ruta: : PROVINCIAL Nº 24 Km: : 30,TIGRE,ARX ARCILLEX S.A.,30-52142239/0,33142,SALVADOR DE BENEDETTI Nº : 1200,JOSE LEON SUAREZ,170203,100
Tratamiento,CERRADO,19/04/2024,12135846,MAPAR S.A,30-50507896/5,27672,PAMPA Nº : 1007,VALENTIN ALSINA,"PICOLET, LORENA PAOLA",27-23369809/7,37532,MAESTRO ARGENTINO Nº : 674,LUJAN,P.T.O.   S.A.,30-69018462/8,38716,BARTOLOME DIAZ Y ENSENADA Nº : CUARTEL V,MORENO,190812,24340
Tratamiento,CERRADO,22/04/2024,12135847,JBS LEATHER ARGENTINA S.A.,30-62405443/8,7583,-------- Nº : -------- Ruta: : RUTA N?11 Km:: 58,MAGDALENA,CHAMICAL COMPACTACION S.A.,33-69879610/9,21616,Ruta: : PROVINCIAL Nº 24 Km: : 30,TIGRE,QUALITA SERVICIOS AMBIENTALES S.A.,30-50931059/5,30168,CAMINO A CAPILLA DEL SEÑOR Nº : S/N Piso: : ---,CAMPANA,040107,8750
Tratamiento,CERRADO,22/04/2024,12135848,PLAZA INTENDENTE ALVE,33-64766151/9,20952,CARLOS PELEGRINI Y POSADAS Nº : 111,CIUDAD AUTONOMA DE BUENOS AIRES,CHAMICAL COMPACTACION S.A.,33-69879610/9,21616,Ruta: : PROVINCIAL Nº 24 Km: : 30,TIGRE,ARX ARCILLEX S.A.,30-52142239/0,33142,SALVADOR DE BENEDETTI Nº : 1200,JOSE LEON SUAREZ,170203,100
Tratamiento,VALIDADO,22/04/2024,12135849,PUNTO CRUZ S.A.,30-64086109/2,41310,AV. GRAL. BELGRANO Nº : 2617 Ruta: : PANAMERICANA Km:: 33,DON TORCUATO,CHAMICAL COMPACTACION S.A.,33-69879610/9,21616,Ruta: : PROVINCIAL Nº 24 Km: : 30,TIGRE,ARX ARCILLEX S.A.,30-52142239/0,33142,SALVADOR DE BENEDETTI Nº : 1200,JOSE LEON SUAREZ,170203,100
Tratamiento,VALIDADO,22/04/2024,12135850,MARONI C S.A,30-52195608/5,46405,HILARION DE LA QUINTANA  Nº : 1028/30/32 Piso: : ---------- Ruta: : --------- Km:: ------,FLORIDA,TYGIA S.R.L.,30-70912306/4,37311,J.M DE ROSAS  Nº : 2969,JOSE LEON SUAREZ,ARX ARCILLEX S.A.,30-52142239/0,33142,SALVADOR DE BENEDETTI Nº : 1200,JOSE LEON SUAREZ,170203,100
Tratamiento,VALIDADO,23/04/2024,12135852,MARONI C S.A,30-52195608/5,46405,HILARION DE LA QUINTANA  Nº : 1028/30/32 Piso: : ---------- Ruta: : --------- Km:: ------,FLORIDA,TYGIA S.R.L.,30-70912306/4,37311,J.M DE ROSAS  Nº : 2969,JOSE LEON SUAREZ,ARX ARCILLEX S.A.,30-52142239/0,33142,SALVADOR DE BENEDETTI Nº : 1200,JOSE LEON SUAREZ,170203,100
